{add}(nselect:1) 	 	 {string, string up}(nselect:0)
{add}(nselect:1) 	 	 {compound, combine}(nselect:0)
{add}(nselect:1) 	 	 {milk}(nselect:0)
{add}(nselect:1) 	 	 {fortify}(nselect:0)
{add}(nselect:1) 	 	 {stud}(nselect:0)
{add}(nselect:1) 	 	 {button}(nselect:0)
{add}(nselect:1) 	 	 {enrich}(nselect:0)
{add}(nselect:1) 	 	 {supplement}(nselect:0)
{add}(nselect:1) 	 	 {include}(nselect:1)
{increase}(nselect:1) 	 	 {accrue}(nselect:0)
{increase}(nselect:1) 	 	 {spike}(nselect:0)
{increase}(nselect:1) 	 	 {add to}(nselect:0)
{increase}(nselect:1) 	 	 {gain, gather}(nselect:0)
{increase}(nselect:1) 	 	 {explode, irrupt}(nselect:0)
{increase}(nselect:1) 	 	 {pyramid}(nselect:0)
{increase}(nselect:1) 	 	 {snowball}(nselect:0)
{increase}(nselect:1) 	 	 {accumulate, cumulate, conglomerate, pile up, gather, amass}(nselect:0)
{increase}(nselect:1) 	 	 {intensify, deepen}(nselect:0)
{increase}(nselect:1) 	 	 {pullulate}(nselect:0)
{increase}(nselect:1) 	 	 {widen}(nselect:0)
{increase}(nselect:1) 	 	 {appreciate, apprize, apprise, revalue}(nselect:0)
{increase}(nselect:1) 	 	 {broaden}(nselect:0)
{increase}(nselect:1) 	 	 {shoot up}(nselect:0)
{increase}(nselect:1) 	 	 {wax, mount, climb, rise}(nselect:0)
{increase}(nselect:1) 	 	 {wax, full}(nselect:0)
{increase}(nselect:1) 	 	 {crescendo}(nselect:0)
{increase}(nselect:1) 	 	 {swell}(nselect:0)
{increase}(nselect:1) 	 	 {intensify, compound, heighten, deepen}(nselect:2)
{intensify, compound, heighten, deepen}(nselect:2) 	 	 {heat up, hot up, screw up}(nselect:0)
{intensify, compound, heighten, deepen}(nselect:2) 	 	 {fan}(nselect:0)
{intensify, compound, heighten, deepen}(nselect:2) 	 	 {enhance, heighten, raise}(nselect:0)
{intensify, compound, heighten, deepen}(nselect:2) 	 	 {amplify}(nselect:0)
{intensify, compound, heighten, deepen}(nselect:2) 	 	 {sharpen}(nselect:0)
{intensify, compound, heighten, deepen}(nselect:2) 	 	 {sharpen, heighten}(nselect:0)
{change magnitude}(nselect:0) 	 	 {decrease, diminish, lessen, fall}(nselect:0)
{decrease, diminish, lessen, fall}(nselect:0) 	 	 {decelerate, slow, slow down, slow up, retard}(nselect:0)
{decelerate, slow, slow down, slow up, retard}(nselect:0) 	 	 {slow, slow down, slow up}(nselect:0)
{decelerate, slow, slow down, slow up, retard}(nselect:0) 	 	 {delay, detain, hold up}(nselect:1)
{delay, detain, hold up}(nselect:1) 	 	 {stonewall}(nselect:0)
{delay, detain, hold up}(nselect:1) 	 	 {catch}(nselect:0)
{delay, detain, hold up}(nselect:1) 	 	 {stall}(nselect:0)
{delay, detain, hold up}(nselect:1) 	 	 {buy time}(nselect:0)
{change magnitude}(nselect:0) 	 	 {size}(nselect:0)
{change}(nselect:0) 	 	 {modify}(nselect:0)
{change}(nselect:0) 	 	 {deaden}(nselect:0)
{change}(nselect:0) 	 	 {break}(nselect:0)
{change}(nselect:0) 	 	 {decay, crumble, dilapidate}(nselect:0)
{change}(nselect:0) 	 	 {mold, mildew}(nselect:0)
{change}(nselect:0) 	 	 {hydrate}(nselect:0)
{change}(nselect:0) 	 	 {dry, dry out}(nselect:0)
{change}(nselect:0) 	 	 {strengthen}(nselect:0)
{change}(nselect:0) 	 	 {distill, distil}(nselect:0)
{change}(nselect:0) 	 	 {deoxidize, deoxidise, reduce}(nselect:0)
{change}(nselect:0) 	 	 {crack}(nselect:0)
{change}(nselect:0) 	 	 {oxidize, oxidise, oxidate}(nselect:0)
{change}(nselect:0) 	 	 {oxidise, oxidize, oxidate}(nselect:0)
{change}(nselect:0) 	 	 {grow}(nselect:0)
{change}(nselect:0) 	 	 {mellow, melt, mellow out}(nselect:0)
{change}(nselect:0) 	 	 {soften}(nselect:0)
{change}(nselect:0) 	 	 {ionize, ionise}(nselect:0)
{change}(nselect:0) 	 	 {stabilize, stabilise}(nselect:0)
{change}(nselect:0) 	 	 {destabilize, destabilise}(nselect:0)
{change}(nselect:0) 	 	 {lighten, lighten up}(nselect:0)
{change}(nselect:0) 	 	 {discolor, discolour, colour, color}(nselect:0)
{change}(nselect:0) 	 	 {discolor}(nselect:0)
{change}(nselect:0) 	 	 {narrow, contract}(nselect:0)
{change}(nselect:0) 	 	 {darken}(nselect:0)
{change}(nselect:0) 	 	 {dim}(nselect:0)
{change}(nselect:0) 	 	 {boil}(nselect:0)
{change}(nselect:0) 	 	 {crack, check, break}(nselect:0)
{change}(nselect:0) 	 	 {transpire}(nselect:0)
{change}(nselect:0) 	 	 {resume, take up}(nselect:0)
{change}(nselect:0) 	 	 {change surface}(nselect:0)
{change}(nselect:0) 	 	 {sublime, sublimate}(nselect:0)
{change}(nselect:0) 	 	 {cool, cool off, cool down}(nselect:0)
{change}(nselect:0) 	 	 {warm up}(nselect:0)
{change}(nselect:0) 	 	 {warm, warm up}(nselect:0)
{change}(nselect:0) 	 	 {transform, transmute, metamorphose}(nselect:0)
{transform, transmute, metamorphose}(nselect:0) 	 	 {become, turn}(nselect:0)
{become, turn}(nselect:0) 	 	 {come, add up, amount}(nselect:0)
{come, add up, amount}(nselect:0) 	 	 {aggregate}(nselect:1)
{change}(nselect:0) 	 	 {convert}(nselect:0)
{change}(nselect:0) 	 	 {dull}(nselect:0)
{change}(nselect:0) 	 	 {complexify, ramify}(nselect:0)
{change}(nselect:0) 	 	 {Americanize, Americanise}(nselect:0)
{change}(nselect:0) 	 	 {modernize, modernise, develop}(nselect:0)
{change}(nselect:0) 	 	 {stiffen}(nselect:0)
{change}(nselect:0) 	 	 {tighten}(nselect:0)
{change}(nselect:0) 	 	 {fail, go bad, give way, die, give out, conk out, go, break, break down}(nselect:0)
{change}(nselect:0) 	 	 {give way, yield}(nselect:0)
{change}(nselect:0) 	 	 {harden, indurate}(nselect:0)
{change}(nselect:0) 	 	 {harden, indurate}(nselect:0)
{change}(nselect:0) 	 	 {suffuse}(nselect:0)
{change}(nselect:0) 	 	 {hush}(nselect:0)
{change}(nselect:0) 	 	 {normalize, normalise}(nselect:0)
{change}(nselect:0) 	 	 {reorient}(nselect:0)
{change}(nselect:0) 	 	 {purify}(nselect:0)
