root(nselect:0) 	 	 Verbo(nselect:0)
{painter}(nselect:4) 	 	 {landscapist}(nselect:0)
{painter}(nselect:4) 	 	 {miniaturist}(nselect:0)
{painter}(nselect:4) 	 	 {muralist}(nselect:0)
{painter}(nselect:4) 	 	 {oil painter}(nselect:0)
{painter}(nselect:4) 	 	 {old master}(nselect:0)
{painter}(nselect:4) 	 	 {pointillist}(nselect:0)
{painter}(nselect:4) 	 	 {portraitist, portrait painter, portrayer, limner}(nselect:0)
{painter}(nselect:4) 	 	 {Postimpressionist, Post-impressionist}(nselect:0)
{painter}(nselect:4) 	 	 {realist}(nselect:0)
{painter}(nselect:4) 	 	 {scenic artist, scene painter}(nselect:0)
{painter}(nselect:4) 	 	 {watercolorist, watercolourist}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {photographer, lensman}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {Pre-Raphaelite}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {printmaker, graphic artist}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {pyrographer}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {romanticist, romantic}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {sculptor, sculpturer, carver, statue maker}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {stylist}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {surrealist}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {symbolist}(nselect:0)
{artist, creative person}(nselect:3) 	 	 {Indiana, Robert Indiana}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {self}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {adult, grownup}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {adventurer, venturer}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {anomaly, unusual person}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {applicant, applier}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {appointee, appointment}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {capitalist}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {captor, capturer}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {changer, modifier}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {color-blind person}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {commoner, common man, common person}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {contestant}(nselect:0)
{person, individual, someone, somebody, mortal, soul}(nselect:20) 	 	 {coward}(nselect:0)
