Verbo(nselect:0) 	 	 {act, move}(nselect:0)
{act, move}(nselect:0) 	 	 {alternate, take turns}(nselect:0)
{act, move}(nselect:0) 	 	 {finish up, land up, fetch up, end up, wind up, finish}(nselect:1)
{act, move}(nselect:0) 	 	 {rush, hasten, hurry, look sharp, festinate}(nselect:0)
{act, move}(nselect:0) 	 	 {interrupt, disturb}(nselect:0)
{act, move}(nselect:0) 	 	 {react, respond}(nselect:2)
{react, respond}(nselect:2) 	 	 {treat}(nselect:0)
{react, respond}(nselect:2) 	 	 {bristle}(nselect:0)
{react, respond}(nselect:2) 	 	 {flip, flip out}(nselect:0)
{react, respond}(nselect:2) 	 	 {overreact}(nselect:0)
{react, respond}(nselect:2) 	 	 {answer}(nselect:0)
{react, respond}(nselect:2) 	 	 {accept}(nselect:0)
{react, respond}(nselect:2) 	 	 {stool}(nselect:0)
{react, respond}(nselect:2) 	 	 {respond}(nselect:0)
{react, respond}(nselect:2) 	 	 {greet}(nselect:1)
{react, respond}(nselect:2) 	 	 {explode}(nselect:0)
{react, respond}(nselect:2) 	 	 {accept}(nselect:0)
{react, respond}(nselect:2) 	 	 {answer}(nselect:0)
{react, respond}(nselect:2) 	 	 {refuse, decline}(nselect:0)
{react, respond}(nselect:2) 	 	 {accept, consent, go for}(nselect:0)
{react, respond}(nselect:2) 	 	 {wonder, marvel}(nselect:0)
{react, respond}(nselect:2) 	 	 {notice, acknowledge}(nselect:0)
{react, respond}(nselect:2) 	 	 {resist, reject, refuse}(nselect:0)
{act, move}(nselect:0) 	 	 {go ahead, plow ahead}(nselect:0)
{act, move}(nselect:0) 	 	 {attack, aggress}(nselect:2)
{attack, aggress}(nselect:2) 	 	 {check}(nselect:0)
{attack, aggress}(nselect:2) 	 	 {fork}(nselect:0)
{attack, aggress}(nselect:2) 	 	 {harass}(nselect:0)
{attack, aggress}(nselect:2) 	 	 {pin}(nselect:0)
{attack, aggress}(nselect:2) 	 	 {tackle}(nselect:2)
{act, move}(nselect:0) 	 	 {force}(nselect:0)
{act, move}(nselect:0) 	 	 {create}(nselect:0)
{act, move}(nselect:0) 	 	 {come to the fore, step forward, come forward, step up, step to the fore, come out}(nselect:0)
{act, move}(nselect:0) 	 	 {reward, repay, pay back}(nselect:0)
{act, move}(nselect:0) 	 	 {satisfice, satisfise}(nselect:0)
{act, move}(nselect:0) 	 	 {maneuver, manoeuver, manoeuvre}(nselect:0)
{act, move}(nselect:0) 	 	 {dispatch}(nselect:0)
{act, move}(nselect:0) 	 	 {evade}(nselect:0)
{act, move}(nselect:0) 	 	 {race}(nselect:0)
{act, move}(nselect:0) 	 	 {use}(nselect:1)
{act, move}(nselect:0) 	 	 {play it by ear}(nselect:0)
{act, move}(nselect:0) 	 	 {play}(nselect:1)
{act, move}(nselect:0) 	 	 {deal}(nselect:0)
{act, move}(nselect:0) 	 	 {partner}(nselect:0)
{act, move}(nselect:0) 	 	 {exert}(nselect:0)
{act, move}(nselect:0) 	 	 {egotrip}(nselect:0)
{act, move}(nselect:0) 	 	 {reciprocate}(nselect:0)
{act, move}(nselect:0) 	 	 {go, proceed, move}(nselect:2)
{go, proceed, move}(nselect:2) 	 	 {work}(nselect:0)
{go, proceed, move}(nselect:2) 	 	 {venture, embark}(nselect:0)
{go, proceed, move}(nselect:2) 	 	 {steamroller, steamroll}(nselect:0)
{act, move}(nselect:0) 	 	 {come close}(nselect:0)
{act, move}(nselect:0) 	 	 {perform}(nselect:0)
{act, move}(nselect:0) 	 	 {make bold, dare, presume}(nselect:0)
{act, move}(nselect:0) 	 	 {prosecute, engage, pursue}(nselect:0)
{act, move}(nselect:0) 	 	 {act on}(nselect:0)
{act, move}(nselect:0) 	 	 {react, oppose}(nselect:0)
{act, move}(nselect:0) 	 	 {take time by the forelock}(nselect:0)
{act, move}(nselect:0) 	 	 {coact}(nselect:0)
{act, move}(nselect:0) 	 	 {volunteer, offer}(nselect:0)
{act, move}(nselect:0) 	 	 {get around to}(nselect:0)
{act, move}(nselect:0) 	 	 {dally, toy, play, flirt}(nselect:0)
{act, move}(nselect:0) 	 	 {set about, go about, approach}(nselect:0)
